No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
265,ANTIOXIDANT,"KAMIYAMA AKANE 
TAIRA NORIHISA 
YOSHIOKA MASATO",SEIWA KASEI CO LTD,JP2011099020A,2009-11-05,"A61K47/22 
A61K8/67 
A61P17/00 
A61P29/00 
A61Q19/00 
C09K15/06 
A23L3/3544 
C07D307/62",,2011-05-19,2011-05-19,44190475
266,"METHOD OF PRODUCING 2,3-DIHYDROXYPROPYL CHITOSAN","JATLUK JURIJ GRIGOR EVICH [RU] 
MOLOCHNIKOV LEONID SAMUILOVICH [RU] 
NESTEROV DENIS VALER EVICH [RU] 
PESTOV ALEKSANDR VIKTOROVICH [RU]",FEDERAL NOE G BJUDZHETNOE UCHREZHDENIE NAUKI INST ORCH SINTEZA IM I JA POSTOVSKOGO URAL SKOGO OTDEL [RU],RU2496793C1,2012-06-14,C08B37/08,,2013-10-27,2013-10-27,49446689
267,PRODUCTION OF GLYCIDYL METHACRYLATE,"KOYAMA HIROSHI 
TAKEMOTO ETSUO",DAICEL CHEM,JP3081707B2,1992-06-16,"B01D3/36 
B01J31/02 
C07B61/00 
C07D301/00 
C07D303/16 
B01D3/36 
B01J31/02 
C07B61/00 
C07D301/00 
C07D303/16",,1994-01-11,1994-01-11,15635325
268,COMPOSITION FOR SHUT-OFF OF WATER IN WELL,"KADYROV RAMZIS RAKHIMOVICH [RU] 
KHASANOVA DIL BARKHON KELAMEDINOVNA [RU] 
KOVALEV JURIJ EVGEN EVICH [RU] 
SHVAREVA GALINA NIKOLAEVNA [RU] 
SUKHOTIN ALEKSANDR EVGEN EVICH [RU] 
VOROB EV VIKTOR NIKOLAEVICH [RU] 
ZHIRKEEV ALEKSANDR SERGEEVICH [RU]",TATNEFT IM V D SHASHINA AOOT [RU],RU2354678C1,2007-12-06,C09K8/487,,2009-05-10,2009-05-10,41019960
269,"1,3-diunsaturated fatty acid-2-palmitic acid-containing structure grease and preparation method thereof","LI XIANGYU 
LU SHUHUAN 
WANG ZHIMING 
XIAO MIN 
YI DEWEI 
ZHOU QIANG",CABIO BIOENGINEERING WUHAN CO LTD,CN104830545A,2015-05-05,"C11C3/10 
C12P7/64","A23D9/04 (CN) 
C11C3/10 (CN) 
C12P7/6472 (CN)",2015-08-12,2015-08-12,53808748
270,PREPARATION OF POLYGLYCEROL WITH SLIGHT COLORATION,"TAKEMOTO ETSUO 
UDA SHINZO",DAICEL CHEM,JPH051291B2,1984-08-07,"C08G65/28 
C08G65/28",,1986-03-03,1986-03-03,15790416
271,Curable mixtures and cured resins made from linear polymers of glycidol,"CORSON FREDERICK P 
SEXTON ARTHUR R 
STEVENS VIOLETE L",DOW CHEMICAL CO,US4086151A,1974-02-20,"C08F2/46 
C08G23/22 
C08F299/02 
C08G18/67 
C08G65/22 
C08L63/00","C08F299/022 (EP) 
C08G18/6795 (EP) 
C08G65/22 (EP) 
C08L63/00 (EP) 
Y10T428/269 (EP,US) 
C08L63/00, C08L2666/22, INV (EP)       
C08L63/00, C08L71/02, INV (EP)      ",1978-04-25,1978-04-25,24874669
272,Non-woven fabric polishing brush and preparation method thereof,"JIANG WENLIANG 
LIN XIA 
XU YING 
ZHANG YUXIU",DONGGUAN DINGTAIXIN ELECTRONIC CO LTD,CN110091263A,2018-09-26,"B24D13/02 
C08J9/06 
C08L63/00 
C08L71/02","B24D13/02 (CN) 
C08J9/0061 (CN) 
C08J9/065 (CN) 
C08J2363/00 (CN) 
C08J2471/02 (CN)",2019-08-06,2019-08-06,67443580
273,Carbon-fiber-toughened hollow brick and preparing method thereof,"CHEN XIANCHAO 
LI JUN 
LIU LIN 
ZHANG ZHANG",ANHUI KUNMENG NEW BUILDING MAT CO LTD,CN109942283A,2019-05-10,"C04B33/13 
C04B33/132 
C04B33/135 
C04B33/138 
C04B33/36",,2019-06-28,2019-06-28,67017275
274,NOVEL VACCINE CARRIER,"KONO KENJI [JP] 
WATARAI SHINOBU [JP]",NIPPON BIOLOG INC [JP],EP1982726A1,2006-02-07,"A61K39/00 
A61K39/002 
A61K39/005 
A61K39/02 
A61K39/085 
A61K39/112 
A61K39/35 
A61K47/24 
A61K9/127 
A61P31/04 
A61P33/00","A61K39/005 (EP) 
A61K39/0208 (EP) 
A61K39/0241 (EP) 
A61K39/085 (EP) 
A61K39/12 (EP) 
A61K39/17 (EP) 
A61K39/39 (EP) 
A61K9/127 (EP) 
A61K9/1272 (EP) 
A61P31/04 (EP) 
A61P31/12 (EP) 
A61P33/00 (EP) 
A61P33/02 (EP) 
A61K2039/521 (EP) 
A61K2039/541 (EP) 
A61K2039/542 (EP) 
A61K2039/543 (EP) 
A61K2039/55555 (EP) 
C12N2760/18111 (EP) 
C12N2760/18134 (EP) 
C12N2760/18151 (EP)",2008-10-22,2007-08-16,38345175
275,EPOXIDE QUATERNIZED QUATERNARY AMMONIUM SALTS,"ADAMS PAUL E [US] 
BUSH JAMES H [US] 
GREENFIELD HANNAH [GB] 
MORETON DAVID J [GB] 
STEVENSON PAUL R [GB]",LUBRIZOL CORP [US],EP3536766A1,2014-05-30,"C10L1/188 
C10L1/222 
C10L1/224 
C10L1/232 
C10L1/2383 
C10L10/04 
C10L10/18 
C10M133/56 
C10M133/58 
C10N20/04 
C10N40/25 
C10N70/00","C10L1/2222 (US) 
C10L1/2383 (EP,CN,US) 
C10L10/04 (EP,CN,US) 
C10L10/18 (EP,CN,US) 
C10M133/06 (US) 
C10M133/56 (EP,CN,US) 
C10M133/58 (CN) 
C10L1/1883 (EP,CN,US) 
C10L2200/0259 (US) 
C10L2200/0423 (EP,CN,US) 
C10L2200/0446 (EP,CN,US) 
C10L2270/023 (EP,US) 
C10L2270/026 (EP,US) 
C10M2207/127 (EP,CN,US) 
C10M2215/02 (EP,CN,US) 
C10M2215/04 (EP,CN,US) 
C10M2215/042 (EP,CN,US) 
C10M2215/28 (EP,CN,US) 
C10M2217/043 (EP,CN,US) 
C10N2020/04 (EP,CN,US) 
C10N2030/04 (EP,US) 
C10N2030/06 (US) 
C10N2040/04 (US) 
C10N2040/25 (EP,CN,US) 
C10N2040/252 (EP,CN,US) 
C10N2040/253 (EP,CN,US) 
C10N2040/255 (EP,CN,US) 
C10N2040/26 (EP,CN,US) 
C10N2070/00 (EP,CN,US)",2019-09-11,2015-12-03,53434462
276,HYDROPHILIC BLOCK COPOLYMERS AND METHOD OF PREPARATION THEREOF (III),"AIT HADDOU HASSAN [FR] 
ONYEMAUWA FRANK OKEZIE [US]",PALL CORP [US],KR101745516B1,2014-06-30,"C08F299/02 
C08G65/14 
C08G75/23 
C08J5/18","B01D69/02 (EP) 
B01D71/80 (EP) 
C08G65/14 (EP) 
C08G65/22 (EP) 
C08G65/334 (EP) 
C08G75/23 (US) 
B01D2325/38 (EP) 
B01D71/52 (EP) 
B01D71/68 (EP) 
C08G2261/126 (EP) 
C08L2205/05 (EP)",2016-01-07,2015-12-31,53442615
277,COATING COMPOSITION AND METHOD FOR COATING USING THE SAME,HASHIMOTO HARUO,TONEN CORP,JPH06122852A,1992-10-09,"C04B35/58 
C08G77/62 
C09D183/16 
C09K21/14 
C04B35/58 
C08G77/48 
C08G77/62 
C09D183/00 
C09D183/16 
C09K21/14",,1994-05-06,1994-05-06,17508016
278,Process for the manufacture of epoxy resins,,LICENTIA GMBH,GB903132A,1959-10-08,"C08G59/30 
C08G59/32","C08G59/30 (EP) 
C08G59/3254 (EP)",1962-08-09,1961-04-27,7266670
279,PREPARATION OF GLYCERIN MONOALKYL ETHER,YASUDA KIYOSHI,DAICEL LTD,JPS58927A,1981-06-26,"C07C41/09 
C07C43/04 
B01J23/04 
C07B61/00 
C07C41/00 
C07C41/03 
C07C41/09 
C07C43/04 
C07C43/13 
C07C43/178 
C07C67/00",,1983-01-06,1983-01-06,14263456
280,"Epoxy resin emulsion for water-based coating, and its preparing method","GUO MINLAN [CN] 
MINLAN GUO","ZHEJIANG ANBANG NEW MATERIAL D [CN] 
ZHEJIANG ANBANG NEW MATERIAL DEV CO LTD",CN1891772A,2005-07-05,"C09D5/02 
C09D163/00 
C08G18/58 
C08G59/14 
C08L63/02",,2007-01-10,2007-01-10,37596979
281,Manufacture of gamma-crotonolactone by carbonylation of glycidol,BRIMA THOMAS S [US],NAT DISTILLERS CHEM CORP [US],US4968817A,1984-07-27,"C07D307/04 
C07D307/26 
C07D307/58 
C07D307/60","C07D307/58 (EP) 
C07D307/60 (EP)",1990-11-06,1990-11-06,27008225
282,PROCESSES FOR REMOVING BORON CONTAINING COMPOUNDS FROM AQUEOUS SYSTEMS,"CHUNG TAI-SHUNG [US] 
STAUDT CLAUDIA [CN] 
TANG YUPAN [SG] 
WIDJOJO NATALIA [SG]","BASF SE [DE] 
NAT UNIV SINGAPORE [SG]",WO2017125300A1,2016-01-22,"B01J20/26 
C02F1/28 
C02F1/44 
C02F101/10","C02F1/285 (EP) 
C02F1/441 (EP) 
C02F1/442 (EP) 
C02F1/444 (EP) 
C02F2101/108 (EP)",2017-07-27,2017-07-27,55299222
283,NOVEL HEPARIN DEPOLYMERISATION METHOD,"GOMEZ OCHOA MARIA TERESA [ES] 
RONCERO ANDRES GREGORIO [ES] 
SARKIS MARDIGUIAN JEAN [ES]","GOMEZ OCHOA MARIA TERESA [ES] 
RONCERO ANDRES GREGORIO [ES] 
ROVI LAB FARMACEUT SA [ES] 
SARKIS MARDIGUIAN JEAN [ES]",WO2008006925A2,2006-07-14,C08B37/10,"A61P7/02 (EP) 
C08B37/0075 (EP)",2008-01-17,2008-01-17,38868028
284,Preparation method of optically active phenyl glycidol and derivatives thereof,"HUI LIN 
YAN LIU 
ZHONGLIU WU",CHENGDU INST BIOLOGY CAS,CN102337307A,2010-07-27,"C12P17/02 
C12R1/19",,2012-02-01,2012-02-01,45513257
285,HALOGEN-FREE PHOSPHOR-FREE FIRE-RETARDANT EPOXIDE RESIN COMPOSITION,"NING RENGCHANG [CN] 
WEI CHANGLIN [CN]","NANTONG XINGHUA DRAKO INDUSTRY [CN] 
NING RENGCHANG [CN] 
WEI CHANGLIN [CN]",WO2007090335A1,2006-02-06,"C08K5/3445 
C08K5/5415 
C08K5/55 
C08L63/00 
H05K1/03","C08G59/302 (EP) 
C08K5/55 (EP) 
H05K1/0326 (EP) 
H05K2201/012 (EP) 
C08K5/55, C08L63/00, INV (EP)      ",2007-08-16,2006-07-26,36839609
286,Method for oxidizing and degrading ultra-branching polyether by sodium hypochlorite,"AJUN WAN [CN] 
HUILI LI [CN] 
YUXIA KOU [CN] 
AJUN WAN 
HUILI LI 
YUXIA KOU","UNIV SHANGHAI JIAOTONG [CN] 
UNIV SHANGHAI JIAOTONG",CN101235141A,2008-03-06,C08G65/323,,2008-08-06,2008-08-06,39919070
287,Method for collecting carbon dioxide under mild condition,"HOU ZHAOYIN 
PAN SAIYONG 
XIA SHUIXIN 
ZHENG LIPING",UNIV ZHEJIANG,CN103463950A,2013-08-19,"B01D53/62 
B01D53/78 
B01D53/96",Y02A50/2341 (EP),2013-12-25,2013-12-25,49789123
288,"Glycidol ester production involves converting alkane carboxylic acid with epichlorohydrin in presence of chrome salt, and received hydroxy compound is converted into alkanoic acid glycidyl esters","GUMLICH KAI [DE] 
HENNINGSEN MICHAEL [DE] 
MERTEN ROLAND [DE] 
MOHR BERNHARD [DE] 
SCHAEFER MARTIN [DE] 
TELES JOAQIM HENRIQUE [DE]",BASF SE [DE],DE102008002530A1,2007-06-28,"B01J23/26 
B01J31/34 
C07D301/30 
C07D303/44","B01J31/04 (EP) 
B01J31/2239 (EP) 
B01J31/4092 (EP) 
C07D301/30 (EP) 
C07D303/44 (EP) 
B01J2531/62 (EP) 
Y02P20/584 (EP)",2009-01-02,2009-01-02,40076126
289,No title available,,OREAL,BE791534A,1971-11-18,"A61K 
C08G 
B01F17/00 
C07C31/18 
C07C43/02 
C07C43/04 
C07C43/178 
C07C69/30 
C08G65/28 
C10M169/00 
C11D1/72","A61K8/06 (EP) 
A61K8/062 (EP) 
A61K8/34 (EP) 
A61K8/37 (EP) 
A61K8/44 (EP) 
A61Q19/00 (EP) 
A61Q19/10 (EP) 
A61Q5/02 (EP) 
C07C43/1785 (EP) 
C11D1/72 (EP) 
A61K2800/596 (EP)",1973-05-17,1973-02-08,19726879
290,LIGHTFAST EPOXY RESIN,"BRESKIN ELLIS [US] 
BRESKMAN ELLIS [US]","BRESKIN ELLIS [US] 
BRESKMAN ELLIS [US]",WO03016377A1,2001-08-14,"C08G59/06 
C08G64/30 
C08G59/06","C08G59/06 (EP) 
C08G59/063 (EP)",2003-02-27,2003-02-20,23211475
291,LINEAR GLYCIDYL CARBAMATE (GC) RESINS FOR HIGHLY FLEXIBLE COATINGS,"HARKAL UMESH D [US] 
MUEHLBERG ANDREW J [US] 
WEBSTER DEAN C [US]","HARKAL UMESH D [US] 
MUEHLBERG ANDREW J [US] 
NDSU RES FOUNDATION [US] 
WEBSTER DEAN C [US]",WO2013158845A1,2012-04-18,C08L75/04,"C07C269/02 (US) 
C07C271/20 (US) 
C08G18/10 (EP) 
C08G18/12 (US) 
C08G18/2845 (EP,US) 
C08G18/3203 (EP) 
C08G18/3206 (EP) 
C08G18/73 (US) 
C09D175/04 (EP,US) 
Y10T428/31551 (EP,US) 
C08G18/10, C08G18/2845, INV (EP)      ",2013-10-24,2013-10-24,49384061
292,Curable oxirane polymers,"HARRIS ROBERT F 
TEFERTILLER NANCY B",DOW CHEMICAL CO,US4397993A,1980-05-02,"C08F8/08 
C08F8/08","C08F8/08 (EP,US) 
C08F2800/20 (EP,US) 
C08F2810/50 (EP,US) 
C08F8/08, C08F220/18, INV (EP,US)      ",1983-08-09,1983-08-09,26843395
293,PROCESS FOR THE PRODUCTION OF GLYCEROL DINITRATES,"COLCLOUGH MARTIN EAMON [GB] 
HAMID JAVID [GB] 
KANG GURVINDER SINGH [GB] 
PELTER ANDREW [GB]","COLCLOUGH MARTIN EAMON [GB] 
HAMID JAVID [GB] 
KANG GURVINDER SINGH [GB] 
PELTER ANDREW [GB] 
SECR DEFENCE [GB]",WO0102336A1,1999-07-03,"C07C201/02 
C07C203/04 
C07D303/16 
C07F7/18 
C07C201/02 
C07C203/04 
C07D303/16","C07C201/02 (EP) 
C07D303/16 (EP) 
Y02P20/55 (EP) 
C07C201/02, C07C203/04, INV (EP)      ",2001-01-11,2001-01-11,10856557
294,Hydrophilic membranes and method of preparation thereof(IV),"AIT-HADDOU HASSAN 
ONYEMAUWA FRANK",PALL CORP,CN105233714A,2014-06-30,"B01D67/00 
B01D69/02 
B01D71/80","B01D67/0009 (EP) 
B01D69/02 (EP) 
B01D71/52 (EP) 
B01D71/68 (EP) 
B01D71/80 (EP) 
C08J9/28 (US) 
B01D2323/02 (EP) 
B01D2323/12 (EP) 
B01D2323/18 (EP) 
B01D2325/36 (EP) 
C08J2201/0522 (US) 
C08J2203/12 (US) 
C08J2381/06 (US)",2016-01-13,2015-12-31,53434267
295,"Latent curing agent for thermosetting aminoplast resins, its manufacture and its use","DOERRIES PETER 
HENSEL RICHARD 
PIESCH STEFFEN 
SCHMIDT EWALD",CASSELLA FARBWERKE MAINKUR AG,US4273669A,1979-03-22,"C08K3/30 
C08K5/05 
C08K5/17 
C08J3/24 
C08K5/41 
C08L61/20","C08K5/41 (EP) 
C08K5/41, C08L61/20, INV (EP)      ",1981-06-16,1980-09-16,6066128
296,FUNCTIONALLY BRANCHED POLYETHER COPOLYMERS AND METHOD FOR THE PRODUCTION THEREOF,"FREY HOLGER [DE] 
WILMS DANIEL [DE] 
WURM FREDERIK [DE]","FREY HOLGER [DE] 
JOHANNES GUTENBERG UNI MAINZ VERTRETEN DURCH DEN PRAESIDENTEN [DE] 
WILMS DANIEL [DE] 
WURM FREDERIK [DE]",WO2011072829A1,2009-12-18,C08G65/00,"C08G65/22 (EP) 
C08G65/2609 (EP) 
C08G65/2612 (EP) 
C08G65/2627 (EP) 
C08G75/08 (EP) 
C08G2261/132 (EP)",2011-06-23,2011-06-22,43432430
297,"Process for the preparation of octadienylethers and new compound 3-ethyl-3-(2,7-octadienyloxy)methyl-oxetane.","BEITZKE BERNHARD DR [DE] 
JOENTGEN WINFRIED DR [DE] 
TRAENCKNER HANS-JOACHIM DR [DE] 
WUEST ALFREDO DR [DE]",BAYER AG [DE],EP0546422A1,1991-12-11,"C07D303/22 
C07D305/06 
C08F16/26 
C08F216/14 
B01J23/44 
B01J27/14 
C07B61/00 
C07D303/22 
C07D305/06 
C08F16/26 
C08F20/44","C07D303/22 (EP) 
C07D305/06 (EP) 
C08F16/26 (EP)",1993-06-16,1993-06-16,6446735
298,"Process for the preparation of 2-amino-1,3-propanediol","BENEDETTI FABIO 
NARDI ANTONIO 
VILLA MARCO","ZAMBON SPA [IT] 
ZAMBON SPA",IT1271470B,1993-09-10,"C07C 
C07C 
C07C213/00",,1995-03-10,1995-03-10,11366875
299,Method for testing glycidol in air and waste gas,"HE LIAN 
HU LIQIAO 
LI HUAIRUI 
PENG ZHAO 
WANG XUE 
ZHU HUIHUA 
ZHU XIEHAO",ZHEJIANG ZHONGYI TESTING INST CO LTD,CN104807911A,2015-05-13,G01N30/02,,2015-07-29,2015-07-29,53692919
300,Process for the production of aromatic glycidyl esters,"MERK WOLFGANG [DE] 
NEES FRIEDBERT [DE] 
REISSMANN GUENTHER [DE] 
WERLE PETER [DE]",DEGUSSA [DE],US4667044A,1981-07-04,"C07D301/00 
B01J27/26 
B01J31/00 
C07B61/00 
C07D301/00 
C07D303/16",C07D303/16 (EP),1987-05-19,1983-01-12,6136103
301,WATER-SOLUBLE SOLDER FLUX COMPOSITION,MINAMOTO YOSHIZO,FUJIFILM OLIN CO LTD,JP2001114747A,1999-10-18,"B23K35/363 
C07C277/08 
C07C279/14 
H05K3/34 
B23K35/363 
C07C277/08 
C07C279/14 
H05K3/34",,2001-04-24,2001-04-24,17821816
302,Process for the production of guaiacol glycerine ether,"MERK WOLFGANG [DE] 
NYGREN ROBERT S [DE] 
WAGNER RUEDOLF M [DE] 
WERLE PETER [DE]",DEGUSSA [DE],US4390732A,1981-02-25,"C07C41/03 
B01J23/00 
B01J27/00 
B01J31/00 
C07B61/00 
C07C41/00 
C07C41/02 
C07C41/03 
C07C43/23 
C07C67/00","C07C41/03 (EP) 
C07C41/03, C07C43/23, INV (EP)      ",1983-06-28,1982-08-19,6125686
303,METHOD OF PREPARING MODIFYING AGENTS FOR STABILIZATION OF FERROMAGNETIC SUSPENSIONS AND PIGMENT MATERIALS,"APROSIN JU D [RU] 
BYSTRITSKIJ G I [RU] 
DANILENKO L V [RU] 
KALINICHENKO A N [RU] 
RAZORENOV JU V [RU] 
SIDLJAROV D P [RU] 
ZHDAMAROVA V N [RU]",MOSKOVSKOE NAUCHNO-PROIZVODSTVENNOE OB EDINENIE NIOPIK [RU],SU1779010A1,1990-05-29,"C07C41/03 
C07C43/12 
C08K5/06",,1995-05-20,1995-05-20,60532994
304,EPOXY MODIFIED ALKOXYSILANE CONDENSATE AND METHOD FOR PRODUCING THE SAME,"AIDA HIDEKI 
TONO TETSUJI",ARAKAWA CHEM IND,JP2001114897A,1999-07-15,"C08G59/32 
C08G77/38 
C08G59/32 
C08G59/42 
C08G77/38 
C08G77/388",,2001-04-24,2001-04-24,27327949
305,METHOD FOR PRODUCING CELLULOSE DERIVATIVE,"IHARA TAKESHI 
OKUTSU TAKAHISA",KAO CORP,JP2009114375A,2007-11-08,"C08B11/08 
A61K8/73 
A61Q5/02 
A61Q5/12",,2009-05-28,2009-05-28,40781868
306,Hot-melt adhesives with copolymer base having epox functions,"LEBEZ J [FR] 
PIERROT J-M [FR] 
RADIGON E [FR]",ATOCHEM ELF SA [FR],CN1214071A,1996-11-26,"C09J123/08 
C09J123/08 
C09J133/04 
C09J133/14","C09J123/08 (EP) 
C08L2666/02 (EP) 
C09J123/08, C08L2666/02, INV (EP)      ",1999-04-14,1998-06-04,9498024
307,"Improvements in and relating to the treatment of artificial threads, filaments, fibres and the like filamentary articles","CARPENTER ALBERT STANLEY 
WILSON DONALD LEONARD",COURTAULDS LTD,GB686190A,1950-05-03,"D01F6/72 
D06M13/11","D01F6/72 (EP) 
D06M13/11 (EP)",1953-01-21,1953-01-21,9976156
308,Method for making esters,"ARNDT PETER J [DE] 
LOWITZ JOACHIM [DE] 
MUELLER MANFRED [DE] 
SCHLOSSER FRITZ [DE]",ROEHM GMBH [DE],US4418204A,1981-10-14,"C07D301/00 
B01J31/00 
B01J31/02 
C07B61/00 
C07D301/00 
C07D303/16",C07D303/16 (EP),1983-11-29,1983-04-15,6144064
309,Process for the production of glycidyl methacrylate,"ACKERMANN ROLF 
KOLB HEINZ 
MORLOCK GERHARD 
SCHREYER GERD",DEGUSSA,US4228084A,1975-06-05,"C07D301/00 
B01J27/00 
C07B61/00 
C07D301/00 
C07D303/16",C07D303/16 (EP),1980-10-14,1976-12-03,5948338
310,"Association product useful as hydrogenation catalyst comprises esterified branched glycidol polymer and transition metal, salt, complex or oxide","MECKING STEFAN [DE] 
MUELHAUPT ROLF [DE]",MECKING STEFAN [DE],DE10104070A1,2000-01-31,"B01J31/06 
C07C5/02 
C08G59/20 
C08K3/08 
C08L33/06 
C08L63/00 
B01J31/04 
B01J31/06 
B01J31/20 
B01J31/30 
C08G65/22 
C08G65/26 
C08G65/332","B01J31/04 (EP) 
B01J31/06 (EP) 
B01J31/20 (EP) 
B01J31/30 (EP) 
C08G65/22 (EP) 
C08G65/2609 (EP) 
C08G65/3322 (EP) 
B01J2231/645 (EP) 
B01J2531/822 (EP)",2001-08-02,2001-08-02,7629257
311,POLYMERIZATION OF GLYCEROL USING A ZEOLITE CATALYST,"ESHUIS JOHAN JAN W [GB] 
LAAN JOHANNES ARIE M [NL] 
POTMAN RONALD PETER [NL]","ESHUIS JOHAN JAN W [GB] 
LAAN JOHANNES ARIE M [NL] 
POTMAN RONALD PETER [NL] 
UNICHEMA CHEMIE BV [NL]",WO9418259A1,1993-02-10,"B01J29/08 
C08G65/10 
C08G65/16 
C08G65/34 
B01J29/08 
C08G65/10 
C08G65/16 
C08G65/34","B01J29/084 (EP) 
C08G65/10 (EP) 
C08G65/16 (EP) 
C08G65/34 (EP)",1994-08-18,1994-08-18,8213624
312,A process for the production of glycerin and/or glycidol,,STANDARD OIL CO,GB971633A,1960-02-17,"B01J31/08 
B01J31/40 
B01J41/04","B01J31/0231 (EP) 
B01J31/08 (EP) 
B01J31/4007 (EP) 
B01J41/04 (EP) 
B01J2231/40 (EP)",1964-09-30,1961-08-14,30769008
313,Synthesis of Modified Urethane Epoxy by Using Glycidol,"KIM GEON JOONG [KR] 
PARK KYU JOON [KR]",UNIV INHA RES & BUSINESS FOUND [KR],KR101934747B1,2017-09-20,"C08G18/58 
C08G18/77 
C08L75/04","C08G18/58 (KR) 
C08G18/771 (KR) 
C08L63/00 (KR) 
C08L75/04 (KR)",2019-01-03,2019-01-03,65022137
314,Alkyl glyceryl ether sulfate salts and process for their preparation,BERKOWITZ SIDNEY,FMC CORP,US4269786A,1978-11-13,"C07C141/08 
C07C305/10 
C11D1/16","C07C305/00 (EP) 
C11D1/16 (EP)",1981-05-26,1981-05-26,26789551
315,Lubricating oil anticreaming agent and preparation method thereof,"YIFEI LI [CN] 
YONGXIANG ZHAO [CN] 
YUE ZHANG [CN] 
LI YIFEI 
ZHANG YUE 
ZHAO YONGXIANG","UNIV SHANXI [CN] 
UNIV SHANXI",CN101597536A,2009-07-03,"C10M145/34 
C10N30/00",,2009-12-09,2009-12-09,41419137
316,GLYCIDOL MODIFIED SILICA FOR REMOVING BORON FROM WATER,"BERG PETER [DE] 
CHUNG TAI-SHUNG [SG] 
EBERIUS KARIN [DE] 
TANG YUPAN [SG] 
WEBER MARTIN [DE]","BASF SE [DE] 
NAT UNIV SINGAPORE [SG]",EP3398677A1,2017-05-03,"B01J20/28 
B01J20/283 
B01J20/32 
C02F1/28 
C02F1/44 
C02F101/10","B01J20/103 (EP) 
B01J20/28004 (EP) 
B01J20/28016 (EP) 
B01J20/28028 (EP) 
B01J20/28033 (EP) 
B01J20/28078 (EP) 
B01J20/283 (EP) 
B01J20/3204 (EP) 
B01J20/3244 (EP) 
B01J20/3251 (EP) 
B01J20/3433 (EP) 
B01J20/3475 (EP) 
C02F1/288 (EP) 
C02F1/442 (EP) 
C02F1/444 (EP) 
C02F2101/108 (EP)",2018-11-07,2018-11-07,58692354
317,METHODS OF MATERIALS HYDROPHILIZATION BY GLYCIDOL CONTAINING SILOXANES,"BARANOV OLEG VALERIEVICH [RU] 
IZMAYLOV BORIS ALEXANDROVICH [RU] 
JUNG WON CHEOL [KR] 
MARKOVA GALI DMITRIEVNA [RU] 
RODLOVSKAYA ELENA NIKOLAEVNA [RU] 
VASNEV VALERY ALEXANDROVICH [RU]",SAMSUNG ELECTRONICS CO LTD [KR],KR101825102B1,2011-12-07,"C08G77/38 
C08L83/04 
D06M15/643",,2013-06-17,2013-06-17,48784925
318,Process for the preparation of epoxide resins by the advancement method,"FIAUX ANDRE [CH] 
NGUYEN DINH L [CH]",CIBA GEIGY CORP [US],US4465722A,1982-07-08,"C08G59/02 
C08G59/00 
C08G59/06 
C08L63/00",C08G59/06 (EP),1984-08-14,1984-01-25,4271093
319,"alpha -glycol endcapped resins, their method of manufacture, and compositions containing the same","HOCH ROGER W [US] 
PEDERSEN WALTER R [US] 
PERUMAL PILLAI T [US]",DEXTER CORP [US],US5811498A,1997-04-16,"C08G59/14 
C08G59/20 
C08G59/24 
C08G59/62","C08G59/621 (EP) 
Y10T428/1355 (EP,US) 
Y10T428/139 (EP,US) 
Y10T428/1397 (EP,US) 
Y10T428/31529 (EP,US)",1998-09-22,1998-09-22,25270580
320,COSMETIC PREPARATION CONTAINING GLYCERYLAMINO ACID DERIVATIVE,"ADACHI TAKASHI [JP] 
UEHARA KEIICHI [JP] 
YOSHIOKA MASATO [JP]",SEIWA KASEI CO LTD [JP],EP1584320A1,2002-12-06,"A61K7/00 
A61K7/06 
A61K7/075 
A61K7/08 
A61K7/09 
A61K7/13 
A61K8/44 
A61Q5/00 
A61Q5/02 
A61Q5/12","A61K8/44 (EP) 
A61Q19/00 (EP) 
A61Q5/00 (EP) 
A61Q5/02 (EP) 
A61Q5/12 (EP)",2005-10-12,2004-06-24,32512471
321,PROCESS FOR PRODUCING  beta -HYDROXY- gamma -BUTYROLACTONE DERIVATIVES AND  beta -(METH)ACRYLOYLOXY- gamma -BUTYROLACTONE DERIVATIVES,"IKEMOTO TETSUYA [JP] 
MURATA NAOSHI [JP] 
SAKANO KUNIHIKO [JP]","IKEMOTO TETSUYA [JP] 
MITSUBISHI RAYON CO [JP] 
MURATA NAOSHI [JP] 
SAKANO KUNIHIKO [JP]",WO9933817A1,1997-12-25,"C07D307/33 
C07D307/33",C07D307/33 (EP),1999-07-08,1999-07-08,18455548
322,ASYMMETRIC EPOXIDATION USING A CHIRAL HYDROPEROXIDE,"KESLING HAVEN S JR [US] 
SHUM WILFRED P [US] 
ZAJACEK JOHN G [US]",ARCO CHEM TECH [US],CA2023600A1,1990-08-29,"C07D301/19 
C07D303/14 
B01J31/02 
C07B53/00 
C07B61/00 
C07D301/19 
C07D303/14 
C07D303/22 
C07D303/40 
C07F7/08","C07D301/19 (EP) 
C07D303/14 (EP) 
C07D303/22 (EP) 
C07D303/40 (EP) 
C07F7/0801 (EP) 
C07F7/0814 (EP)",1992-02-23,1992-02-23,27423606
